,T1goldEarned,T1totalMinionsKilled,T1totalTimeSpentDead,T1wardsKilled,T1wardsPlaced,T2goldEarned,T2totalMinionsKilled,T2totalTimeSpentDead,T2wardsKilled,T2wardsPlaced,T1win,T1baron,T1champion,T1dragon,T1inhibitor,T1riftHerald,T1tower,T2baron,T2champion,T2dragon,T2inhibitor,T2riftHerald,T2tower
0,66128,615,1155,35,117,71723,752,1397,47,73,0,0,44,4,0,2,5,1,33,1,1,0,10
1,67936,704,1106,29,62,62686,626,1174,19,81,1,1,39,3,1,1,6,0,36,2,1,1,5
2,46456,550,1095,14,43,61547,677,523,19,66,0,0,18,0,0,2,2,1,38,3,1,0,9
3,37967,478,687,9,42,48647,512,228,11,41,0,0,10,2,0,1,2,1,27,1,2,0,9
4,48537,549,449,20,50,43636,520,635,16,40,1,0,27,2,1,1,7,0,19,1,0,0,3
5,36010,462,604,8,40,50692,515,315,15,43,0,0,14,0,0,0,0,1,27,3,1,2,8
6,47194,445,325,12,37,34769,431,681,6,37,1,0,31,3,0,2,5,0,13,0,0,0,0
7,44115,543,487,28,53,57031,613,408,23,79,0,0,15,1,0,1,2,1,24,3,2,1,11
8,46753,576,1004,15,32,59464,644,463,10,60,0,0,21,0,0,1,2,1,35,4,1,1,11
9,71827,736,1092,35,126,77339,901,1158,68,103,0,1,38,2,2,1,9,1,39,3,2,1,9
10,54177,582,480,18,58,45294,529,1167,25,55,1,0,40,3,3,0,11,0,18,0,0,1,2
11,21711,305,441,8,25,37010,419,108,11,37,0,0,4,0,0,0,0,0,21,2,0,1,5
12,35642,462,527,15,41,50778,557,294,14,44,0,0,13,1,0,1,0,1,27,2,0,1,6
13,75648,761,1802,18,65,71540,777,1107,20,73,1,2,35,1,2,2,9,1,42,4,0,0,4
14,68837,669,594,34,78,52892,678,1226,30,91,1,1,46,4,2,1,9,0,21,0,0,0,2
15,36490,494,242,12,38,33496,510,308,9,30,1,0,13,1,0,1,2,0,8,2,0,0,1
16,72505,840,897,27,88,62065,691,998,26,71,1,1,29,2,1,0,7,1,28,2,1,2,5
17,43036,495,756,20,58,52918,511,545,17,47,0,0,21,2,0,0,1,1,33,1,1,1,10
18,52378,630,1123,26,81,60432,655,631,50,51,0,0,25,1,0,0,2,1,39,2,1,1,8
19,59069,660,819,23,60,65552,707,688,29,70,0,0,24,3,3,2,9,2,29,2,1,0,7
20,56210,646,982,19,73,65876,651,865,26,74,0,0,25,2,0,0,2,2,36,2,2,1,9
21,55228,605,530,16,57,48719,554,886,18,45,1,0,37,3,1,1,5,0,24,0,0,1,2
22,34230,448,732,7,39,47618,527,250,25,35,0,0,11,2,0,1,1,0,28,1,0,0,3
23,28579,333,807,4,32,48898,424,187,9,32,0,0,10,0,0,0,0,0,41,2,1,1,10
24,56111,618,618,27,59,47950,616,709,19,70,1,0,30,3,0,2,7,0,23,0,0,0,2
25,51129,557,345,16,47,36619,436,554,14,48,1,1,26,3,1,2,8,0,12,0,0,0,0
26,55756,648,985,23,52,67084,718,763,21,64,0,0,26,1,0,1,2,2,35,3,2,1,10
27,35103,381,168,12,27,25304,312,416,3,33,1,0,21,2,0,0,4,0,9,0,0,0,0
28,52047,554,443,17,50,41723,478,767,13,48,1,1,29,2,2,1,8,0,18,2,0,1,2
29,64702,561,1113,7,54,55839,573,1406,12,57,1,0,49,3,1,2,9,0,34,1,0,0,3
30,63756,610,740,21,64,59213,633,1131,32,69,1,0,35,2,1,0,7,1,27,2,0,1,5
31,27733,370,429,6,25,32813,355,195,5,31,0,0,11,0,0,0,1,0,22,1,0,1,1
32,54175,703,785,22,102,65606,715,648,37,70,0,0,21,1,0,0,1,2,29,4,2,2,7
33,66971,649,874,29,71,55163,589,1249,22,54,1,1,46,3,2,1,10,0,27,1,0,1,2
34,41949,625,434,15,63,53427,637,267,24,56,0,0,11,1,0,1,3,1,19,3,2,0,8
35,64932,725,772,28,79,53565,721,750,29,72,1,1,30,2,2,0,9,0,25,2,0,1,2
36,40955,519,720,24,55,57465,661,406,16,66,0,0,15,0,0,1,1,1,28,3,1,1,9
37,35511,463,506,7,40,45693,517,246,11,41,0,0,10,0,0,0,3,0,25,3,1,2,8
38,57238,553,1215,25,65,63532,577,1175,19,82,0,0,35,2,0,1,2,1,40,2,1,1,8
39,59471,565,1106,17,68,62910,651,1017,24,55,0,1,31,0,0,2,6,0,43,4,1,0,8
40,65351,659,879,22,85,63623,638,964,30,58,1,1,32,2,1,0,7,1,31,2,1,2,7
41,36884,446,732,8,37,46824,496,384,12,36,0,0,15,0,0,2,2,0,30,2,1,0,6
42,43720,417,163,13,34,30217,405,511,5,30,1,0,27,2,1,2,9,0,8,0,0,0,1
43,48374,530,852,9,49,58694,587,551,8,44,0,0,21,0,0,1,3,1,31,3,3,1,11
44,33967,430,652,9,30,51285,492,198,12,41,0,0,13,1,0,0,0,1,32,1,1,2,7
45,28619,306,541,5,18,39290,286,248,5,32,0,0,13,1,0,0,1,0,30,1,1,1,7
46,78601,1005,1107,49,107,74928,893,645,28,115,1,0,23,3,4,1,11,2,29,4,1,0,7
